,rank,team,rank_change,year,previous_cup_wins,won_this_year,Part,W,D,L,Gd,Pts
229,18,Nigeria,2,1993,1,0,19.0,53.0,22.0,22.0,46.0,181.0
230,37,Ghana,-4,1993,4,0,23.0,54.0,21.0,27.0,46.0,183.0
231,60,Gabon,4,1993,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
232,63,Guinea,1,1993,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
233,67,Malawi,-2,1993,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
234,70,Mali,-5,1993,0,0,12.0,19.0,19.0,16.0,0.0,76.0
235,71,DR Congo,1,1993,1,0,19.0,20.0,24.0,29.0,-14.0,84.0
236,56,Senegal,-7,1993,0,0,16.0,27.0,17.0,23.0,22.0,98.0
237,46,Zimbabwe,0,1993,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
238,152,Libya,3,1993,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
239,46,Zimbabwe,0,1994,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
240,72,Sierra Leone,-4,1994,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
241,71,DR Congo,0,1994,1,0,19.0,20.0,24.0,29.0,-14.0,84.0
242,68,Malawi,1,1994,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
243,64,Guinea,1,1994,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
244,62,Gabon,2,1994,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
245,61,Mali,-9,1994,0,0,12.0,19.0,19.0,16.0,0.0,76.0
246,60,Senegal,4,1994,0,0,16.0,27.0,17.0,23.0,22.0,98.0
247,74,Kenya,0,1994,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
248,15,Nigeria,-3,1994,2,1,19.0,53.0,22.0,22.0,46.0,181.0
249,37,Algeria,2,1994,1,0,19.0,28.0,22.0,27.0,5.0,106.0
250,35,Ghana,-2,1994,4,0,23.0,54.0,21.0,27.0,46.0,183.0
251,33,Tunisia,1,1994,0,0,20.0,25.0,29.0,26.0,5.0,104.0
252,31,Ivory Coast,-2,1994,1,0,24.0,44.0,30.0,25.0,42.0,162.0
253,30,Zambia,3,1994,0,0,17.0,26.0,20.0,21.0,12.0,98.0
254,29,Cameroon,6,1994,2,0,20.0,45.0,30.0,16.0,55.0,165.0
255,28,Morocco,-2,1994,1,0,18.0,27.0,24.0,19.0,19.0,105.0
256,22,Egypt,-4,1994,3,0,25.0,60.0,20.0,27.0,78.0,200.0
257,102,Congo,-1,1994,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
258,103,Burundi,2,1994,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
259,112,Mozambique,8,1994,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
260,113,Angola,11,1994,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
261,99,Madagascar,10,1994,0,0,1.0,2.0,2.0,1.0,0.0,8.0
262,94,Uganda,0,1994,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
263,95,Ethiopia,-1,1994,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
264,96,Tanzania,-2,1994,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
265,98,South Africa,3,1994,0,0,10.0,16.0,13.0,14.0,3.0,61.0
266,117,Burkina Faso,-10,1994,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
267,119,Sudan,0,1994,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
268,143,Botswana,3,1994,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
269,144,Mauritania,0,1994,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
270,147,Cape Verde,0,1994,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
271,151,Libya,-1,1994,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
272,120,Togo,7,1994,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
273,125,Gambia,0,1994,0,0,1.0,3.0,1.0,1.0,1.0,10.0
274,126,Liberia,3,1994,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
275,130,Benin,0,1994,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
276,132,Guinea-Bissau,1,1994,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
277,133,Mauritius,0,1994,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
278,77,Niger,-4,1994,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
279,41,Zimbabwe,-5,1994,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
280,58,Senegal,-2,1994,0,0,16.0,27.0,17.0,23.0,22.0,98.0
281,73,Sierra Leone,1,1994,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
282,71,Malawi,3,1994,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
283,62,Guinea,-2,1994,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
284,61,Gabon,-1,1994,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
285,57,Mali,-4,1994,0,0,12.0,19.0,19.0,16.0,0.0,76.0
286,37,Algeria,0,1994,1,0,19.0,28.0,22.0,27.0,5.0,106.0
287,18,Nigeria,3,1994,2,1,19.0,53.0,22.0,22.0,46.0,181.0
288,32,Tunisia,-1,1994,0,0,20.0,25.0,29.0,26.0,5.0,104.0
289,31,Ghana,-4,1994,4,0,23.0,54.0,21.0,27.0,46.0,183.0
290,29,Morocco,1,1994,1,0,18.0,27.0,24.0,19.0,19.0,105.0
291,28,Ivory Coast,-3,1994,1,0,24.0,44.0,30.0,25.0,42.0,162.0
292,26,Cameroon,-3,1994,2,0,20.0,45.0,30.0,16.0,55.0,165.0
293,25,Egypt,3,1994,3,0,25.0,60.0,20.0,27.0,78.0,200.0
294,22,Zambia,-8,1994,0,0,17.0,26.0,20.0,21.0,12.0,98.0
295,154,Libya,3,1994,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
296,130,Liberia,4,1994,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
297,124,Angola,11,1994,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
298,122,Togo,2,1994,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
299,121,Sudan,2,1994,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
300,117,Guinea-Bissau,-15,1994,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
301,135,Mauritius,2,1994,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
302,149,Cape Verde,2,1994,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
303,146,Mauritania,2,1994,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
304,145,Botswana,2,1994,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
305,136,Benin,6,1994,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
306,115,Mozambique,3,1994,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
307,92,South Africa,-6,1994,0,0,10.0,16.0,13.0,14.0,3.0,61.0
308,80,Niger,3,1994,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
309,79,Kenya,5,1994,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
310,96,Uganda,2,1994,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
311,110,Gambia,-15,1994,0,0,1.0,3.0,1.0,1.0,1.0,10.0
312,107,Burundi,4,1994,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
313,77,DR Congo,6,1994,1,0,19.0,20.0,24.0,29.0,-14.0,84.0
314,106,Congo,4,1994,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
315,104,Burkina Faso,-13,1994,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
